experiment,method,trial,ms,rows,platform
exp4,pg_query_1000,1,3.598,1000,linux_x86_64
exp4,pg_query_1000,2,2.569,1000,linux_x86_64
exp4,pg_query_1000,3,2.526,1000,linux_x86_64
exp4,pg_query_1000,4,2.225,1000,linux_x86_64
exp4,pg_query_1000,5,4.346,1000,linux_x86_64
exp4,pg_query_1000,6,2.222,1000,linux_x86_64
exp4,pg_query_1000,7,4.213,1000,linux_x86_64
exp4,pg_query_1000,8,4.112,1000,linux_x86_64
exp4,pg_query_1000,9,4.463,1000,linux_x86_64
exp4,pg_query_1000,10,4.232,1000,linux_x86_64
exp4,csv_sha256_chain_1000,1,94.55,1000,linux_x86_64
exp4,csv_sha256_chain_1000,2,79.32,1000,linux_x86_64
exp4,csv_sha256_chain_1000,3,84.07,1000,linux_x86_64
exp4,csv_sha256_chain_1000,4,75.51,1000,linux_x86_64
exp4,csv_sha256_chain_1000,5,81.6,1000,linux_x86_64
exp4,csv_sha256_chain_1000,6,83.61,1000,linux_x86_64
exp4,csv_sha256_chain_1000,7,102.45,1000,linux_x86_64
exp4,csv_sha256_chain_1000,8,89.65,1000,linux_x86_64
exp4,csv_sha256_chain_1000,9,88.55,1000,linux_x86_64
exp4,csv_sha256_chain_1000,10,95.14,1000,linux_x86_64
