rtt_ms,config,tool,trial,tps,p50_ms,p95_ms,errors,method,platform
0,bridge,duration60s,1,66.9,2150,6357,0,gateway,linux_x86_64
0,bridge,duration60s,2,70.6,2138,6345,1,gateway,linux_x86_64
0,bridge,duration60s,3,67.6,2136,6336,3,gateway,linux_x86_64
0,bridge,duration60s,4,66.4,2141,6343,1,gateway,linux_x86_64
0,bridge,duration60s,5,69.7,2137,6346,0,gateway,linux_x86_64
50,bridge,duration60s,1,62.7,2247,6662,2,gateway,linux_x86_64
50,bridge,duration60s,2,66.8,2243,6670,1,gateway,linux_x86_64
50,bridge,duration60s,3,63.2,2242,6642,0,gateway,linux_x86_64
50,bridge,duration60s,4,66.2,2232,6640,1,gateway,linux_x86_64
50,bridge,duration60s,5,65.8,2235,6637,1,gateway,linux_x86_64
100,bridge,duration60s,1,61.1,2357,6997,1,gateway,linux_x86_64
100,bridge,duration60s,2,62.2,2353,6990,0,gateway,linux_x86_64
100,bridge,duration60s,3,61.3,2357,6992,2,gateway,linux_x86_64
100,bridge,duration60s,4,64.6,2358,6996,0,gateway,linux_x86_64
100,bridge,duration60s,5,62.2,2362,7023,1,gateway,linux_x86_64
150,bridge,duration60s,1,61.6,2464,7302,1,gateway,linux_x86_64
150,bridge,duration60s,2,60.6,2457,7291,0,gateway,linux_x86_64
150,bridge,duration60s,3,62.0,2451,7277,1,gateway,linux_x86_64
150,bridge,duration60s,4,64.0,2450,7275,0,gateway,linux_x86_64
150,bridge,duration60s,5,55.6,2461,7309,1,gateway,linux_x86_64
0,bridge_veth,duration60s,1,71.6,2137,6346,3,gateway,linux_x86_64
0,bridge_veth,duration60s,2,67.8,2140,6358,3,gateway,linux_x86_64
0,bridge_veth,duration60s,3,71.2,2140,6352,2,gateway,linux_x86_64
0,bridge_veth,duration60s,4,68.1,2142,6359,3,gateway,linux_x86_64
0,bridge_veth,duration60s,5,68.7,2146,6369,2,gateway,linux_x86_64
50,bridge_veth,duration60s,1,50.7,2915,8634,17,gateway,linux_x86_64
50,bridge_veth,duration60s,2,50.1,2920,8631,25,gateway,linux_x86_64
50,bridge_veth,duration60s,3,51.6,2912,8612,8,gateway,linux_x86_64
50,bridge_veth,duration60s,4,52.3,2921,8626,12,gateway,linux_x86_64
50,bridge_veth,duration60s,5,50.0,2928,8642,14,gateway,linux_x86_64
100,bridge_veth,duration60s,1,45.7,3114,9156,21,gateway,linux_x86_64
100,bridge_veth,duration60s,2,46.0,3153,9186,13,gateway,linux_x86_64
100,bridge_veth,duration60s,3,47.4,3132,6255,7,gateway,linux_x86_64
100,bridge_veth,duration60s,4,49.6,3139,9122,9,gateway,linux_x86_64
100,bridge_veth,duration60s,5,46.5,3124,9191,14,gateway,linux_x86_64
150,bridge_veth,duration60s,1,40.5,3577,7225,143,gateway,linux_x86_64
150,bridge_veth,duration60s,2,38.7,3564,7148,187,gateway,linux_x86_64
150,bridge_veth,duration60s,3,38.0,3543,7192,199,gateway,linux_x86_64
150,bridge_veth,duration60s,4,39.1,3639,7266,193,gateway,linux_x86_64
150,bridge_veth,duration60s,5,35.3,3618,7249,254,gateway,linux_x86_64
