experiment,mode,batch_timeout_ms,tool,concurrency,trial,tps,p50_ms,p95_ms,errors,client_cpu_pct,method,platform
exp_sens,fabric,2000,duration60s,50,1,70.4,16,2131,0,2,gateway,linux_x86_64
exp_sens,fabric,2000,duration60s,50,2,67.1,12,2207,0,2,gateway,linux_x86_64
exp_sens,fabric,2000,duration60s,50,3,69.9,10,2145,0,2,gateway,linux_x86_64
exp_sens,fabric,2000,duration60s,50,4,64.8,10,2148,0,2,gateway,linux_x86_64
exp_sens,fabric,2000,duration60s,50,5,68.9,11,2148,0,2,gateway,linux_x86_64
exp_sens,fabric,2000,duration60s,50,6,66.6,10,2151,0,2,gateway,linux_x86_64
exp_sens,fabric,2000,duration60s,50,7,65.0,10,2135,0,2,gateway,linux_x86_64
exp_sens,fabric,2000,duration60s,50,8,67.6,9,2120,0,2,gateway,linux_x86_64
exp_sens,fabric,2000,duration60s,50,9,68.9,10,2118,0,2,gateway,linux_x86_64
exp_sens,fabric,2000,duration60s,50,10,67.6,10,2119,0,2,gateway,linux_x86_64
exp_sens,fabric,500,duration60s,50,1,174.2,49,1009,0,15,gateway,linux_x86_64
exp_sens,fabric,500,duration60s,50,2,185.5,35,1026,0,12,gateway,linux_x86_64
exp_sens,fabric,500,duration60s,50,3,216.8,25,959,0,10,gateway,linux_x86_64
exp_sens,fabric,500,duration60s,50,4,196.0,32,991,0,11,gateway,linux_x86_64
exp_sens,fabric,500,duration60s,50,5,175.7,32,1030,0,10,gateway,linux_x86_64
exp_sens,fabric,500,duration60s,50,6,205.8,25,987,0,10,gateway,linux_x86_64
exp_sens,fabric,500,duration60s,50,7,207.8,31,979,0,12,gateway,linux_x86_64
exp_sens,fabric,500,duration60s,50,8,179.9,30,1023,0,10,gateway,linux_x86_64
exp_sens,fabric,500,duration60s,50,9,195.0,24,1024,0,9,gateway,linux_x86_64
exp_sens,fabric,500,duration60s,50,10,193.3,34,996,0,13,gateway,linux_x86_64
exp_sens,fabric,250,duration60s,50,1,136.7,227,1316,0,15,gateway,linux_x86_64
exp_sens,fabric,250,duration60s,50,2,178.6,97,1071,0,15,gateway,linux_x86_64
exp_sens,fabric,250,duration60s,50,3,182.1,165,1048,0,14,gateway,linux_x86_64
exp_sens,fabric,250,duration60s,50,4,179.4,199,1044,0,12,gateway,linux_x86_64
exp_sens,fabric,250,duration60s,50,5,185.9,123,1042,0,15,gateway,linux_x86_64
exp_sens,fabric,250,duration60s,50,6,192.4,62,1038,0,13,gateway,linux_x86_64
exp_sens,fabric,250,duration60s,50,7,178.4,177,1053,0,12,gateway,linux_x86_64
exp_sens,fabric,250,duration60s,50,8,203.2,67,1004,0,15,gateway,linux_x86_64
exp_sens,fabric,250,duration60s,50,9,205.5,65,961,0,16,gateway,linux_x86_64
exp_sens,fabric,250,duration60s,50,10,155.7,211,1280,0,14,gateway,linux_x86_64
