rtt_ms,method,sample_index,latency_ms
0,veth_corrected,1,2128
0,veth_corrected,2,2144
0,veth_corrected,3,2166
0,veth_corrected,4,2136
0,veth_corrected,5,2127
0,veth_corrected,6,2132
0,veth_corrected,7,2140
0,veth_corrected,8,2140
0,veth_corrected,9,2124
0,veth_corrected,10,2130
0,veth_corrected,11,2136
0,veth_corrected,12,2119
0,veth_corrected,13,2137
0,veth_corrected,14,2144
0,veth_corrected,15,2134
0,veth_corrected,16,2153
0,veth_corrected,17,2143
0,veth_corrected,18,2143
0,veth_corrected,19,2140
0,veth_corrected,20,2137
50,veth_corrected,1,2394
50,veth_corrected,2,2339
50,veth_corrected,3,2346
50,veth_corrected,4,2333
50,veth_corrected,5,2337
50,veth_corrected,6,2325
50,veth_corrected,7,2331
50,veth_corrected,8,2345
50,veth_corrected,9,2340
50,veth_corrected,10,2327
50,veth_corrected,11,2341
50,veth_corrected,12,2335
50,veth_corrected,13,2333
50,veth_corrected,14,2343
50,veth_corrected,15,2337
50,veth_corrected,16,2341
50,veth_corrected,17,2337
50,veth_corrected,18,2339
50,veth_corrected,19,2346
50,veth_corrected,20,2345
100,veth_corrected,1,2570
100,veth_corrected,2,2531
100,veth_corrected,3,2572
100,veth_corrected,4,2536
100,veth_corrected,5,2562
100,veth_corrected,6,2570
100,veth_corrected,7,2570
100,veth_corrected,8,2543
100,veth_corrected,9,2531
100,veth_corrected,10,2539
100,veth_corrected,11,2538
100,veth_corrected,12,2578
100,veth_corrected,13,2574
100,veth_corrected,14,2567
100,veth_corrected,15,2566
100,veth_corrected,16,2540
100,veth_corrected,17,2543
100,veth_corrected,18,2542
100,veth_corrected,19,2554
100,veth_corrected,20,2543
150,veth_corrected,1,2750
150,veth_corrected,2,2746
150,veth_corrected,3,2756
150,veth_corrected,4,2743
150,veth_corrected,5,2737
150,veth_corrected,6,2748
150,veth_corrected,7,2744
150,veth_corrected,8,2738
150,veth_corrected,9,2734
150,veth_corrected,10,2745
150,veth_corrected,11,2745
150,veth_corrected,12,2737
150,veth_corrected,13,2750
150,veth_corrected,14,2744
150,veth_corrected,15,2739
150,veth_corrected,16,2751
150,veth_corrected,17,2731
150,veth_corrected,18,2742
150,veth_corrected,19,2743
150,veth_corrected,20,2738
0,bridge_original,1,2080
50,bridge_original,1,2185
100,bridge_original,1,2288
150,bridge_original,1,2556
